id,item_id,name,url,brand,category,price,msrp,review_score,review_count,cereal,cold_cereal,day,cereal_order,cold_cereal_order,image
16,25819603,"Kellogg's Rice Krispies Treats Cereal, 11.6 oz Box",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Rice-Krispies-Treats-Cereal-11-6-oz-Box%2F25819603%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,2.98,,4.45,97,t,t,1,16,34,https://i5.walmartimages.com/asr/5a293515-10bb-4e47-8ebd-e79498bbb241_1.0b5d4130ed374fb98a9c100d1485caa7.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
23,19514902,Malt-O-Meal® Frosted Flakes Cereal 40.5 oz. ZIP-PAK,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FMalt-O-Meal-Frosted-Flakes-Cereal-40-5-oz-ZIP-PAK%2F19514902%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Malt-O-Meal,Food > Breakfast & Cereal > Cold Cereal,4.98,,4.699,102,t,t,1,23,44,https://i5.walmartimages.com/asr/81195760-278e-4f3a-ad9f-a954f4ec082f_1.30f036be75aa611292fde0b130cd0d94.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
32,41474804,French Toast Crunch Cereal 11.6 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FFrench-Toast-Crunch-Cereal-11-6-oz-Box%2F41474804%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,French Toast,Food > Breakfast & Cereal > Cold Cereal,2.98,,4.512,41,t,t,1,43,96,https://i5.walmartimages.com/asr/5b47d57e-46bf-4fa9-b18f-7af08ea0a129_1.85c048612c88bdb095076aecedd29904.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
31,25847972,Lucky Charms Gluten Free Cereal 25.1 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FLucky-Charms-Gluten-Free-Cereal-25-1-oz-Box%2F25847972%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Lucky Charms,Food > Breakfast & Cereal > Cold Cereal,4.58,,4.723,223,t,t,1,36,13,https://i5.walmartimages.com/asr/628d5750-bc56-4c91-bb2f-11522111d978_1.942e7bffd4b06b3798b5a836832b5326.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
30,24984275,"Kellogg's Special K Chocolatey Delight Cereal, 13.1 oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Special-K-Chocolatey-Delight-Cereal-13-1-oz%2F24984275%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,3.87,,4.758,95,t,t,1,31,18,https://i5.walmartimages.com/asr/c726e497-4f30-4d4d-b5c9-57b4042c0d93_1.dc5586e0c3bd5a41e12d139eb3b4e145.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
34,16923607,"Cap'n Crunch Cereal, Crunch Berries, 18.7 Oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FCap-n-Crunch-Cereal-Crunch-Berries-18-7-Oz%2F16923607%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cap'n Crunch,Food > Breakfast & Cereal > Cold Cereal,2.98,3,4.754,83,t,t,1,46,54,https://i5.walmartimages.com/asr/1ba7d114-7064-41c7-8a80-1319d0dfd209_1.1921a0287ffe398a3f1a5aad83801a9e.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
29,10292154,"Malt-O-Meal Marshmallow Mateys Cereal, 38 Oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FMalt-O-Meal-Marshmallow-Mateys-Cereal-38-Oz%2F10292154%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Malt-O-Meal,Food > Breakfast & Cereal > Cold Cereal,5.98,,4.662,65,t,t,1,29,108,https://i5.walmartimages.com/asr/19fe2f7d-0de2-458e-bcf1-eb6364f8f4b8_1.15a429632e56bf16004a5800b29b89e4.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
27,21096170,Kellogg's Cinnabon Cinnamon Roll Cereal 9 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Cinnabon-Cinnamon-Roll-Cereal-9-oz-Box%2F21096170%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,2.68,,4.948,58,t,t,1,27,74,https://i5.walmartimages.com/asr/ca4da005-2fd2-480b-804a-67be0ec3e1bc_1.444bf3bfacdcd72e1dce447c779ae6cc.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
788,143645717,"Heartland Original Granola Cereal, 16 OZ (Pack of 6)",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FHeartland-Original-Granola-Cereal-16-OZ-Pack-of-6%2F143645717%3Faffp1%3DDA4IZoKc3fOiA3CO5EZy_PwHF9YedvnuBdpDMsgDYmQ%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,,Food > Breakfast & Cereal > Cold Cereal,28.54,,,,t,t,1,819,675,https://i5.walmartimages.com/asr/334128e1-6f5a-4552-8429-34fa7d0dcda4_1.67edf7c4e0f47cb83ea9abbf793ffef8.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
22,52760219,Cheerios™ Limited Edition Strawberry Cereal 21 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FCheerios-Limited-Edition-Strawberry-Cereal-21-oz-Box%2F52760219%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cheerios,Food > Breakfast & Cereal > Cold Cereal,3.64,3.98,3,,t,t,1,22,30,https://i5.walmartimages.com/asr/6bbe413e-6879-4deb-923b-bbe0c815c453_1.90f936efea29a9b7d5879804efb8eb82.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
2,14869856,Reese's Peanut Butter Puffs Cereal 22.9 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FReese-s-Peanut-Butter-Puffs-Cereal-22-9-oz-Box%2F14869856%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Reese's,Food > Breakfast & Cereal > Cold Cereal,3.64,3.88,4.726,49,t,t,1,2,120,https://i5.walmartimages.com/asr/92e775b3-a6f3-495e-9b80-ee0e339aa3a6_1.c53e0fbdf00a3f6d89d157dc3e1589e1.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
35,10311410,Cheerios Gluten Free Toasted Whole Grain Oat Cereal 18 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FCheerios-Gluten-Free-Toasted-Whole-Grain-Oat-Cereal-18-oz-Box%2F10311410%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cheerios,Food > Breakfast & Cereal > Cold Cereal,3.68,,4.808,353,t,t,1,30,109,https://i5.walmartimages.com/asr/4d1a3862-cc20-4750-9c7d-f58fd089663f_1.143c4b0394c032b515e78f78c50a3c3d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
28,15716903,Post Great Grains Crunchy Pecan Cereal 16 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FPost-Great-Grains-Crunchy-Pecan-Cereal-16-oz-Box%2F15716903%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Post,Food > Breakfast & Cereal > Cold Cereal,3.28,,4.726,61,t,t,1,28,26,https://i5.walmartimages.com/asr/25e82a20-9832-41b8-91e5-f0d07ea43ed1_1.ea5fc08dd96d562f7cc3a64189a3bf7b.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
45,34201711,Reese's Puffs Cereal 28.2 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FReese-s-Puffs-Cereal-28-2-oz-Box%2F34201711%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Reese's,Food > Breakfast & Cereal > Cold Cereal,4.58,,4.646,79,t,t,1,42,49,https://i5.walmartimages.com/asr/202721dc-5cc3-4d85-91b7-0abed307ec76_1.8ea1a88706c18e23692230ba50933364.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
1237,631277272,Vigilant Eats - Organic Superfood Oat-Based Cereal Goji-Cacao - 2.7 oz(pack of 2),http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FVigilant-Eats-Organic-Superfood-Oat-Based-Cereal-Goji-Cacao-2-7-oz-pack-of-2%2F631277272%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,,Food > Breakfast & Cereal > Cold Cereal,22.99,,,,,t,1,,1013,https://i5.walmartimages.com/asr/a839a0d0-daf6-4e4d-8136-024bacc8ff7e_1.c74452ab5e265bd6b28785243f77b909.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
39,10311277,Honey Nut Cheerios™ Gluten Free Cereal 17 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FHoney-Nut-Cheerios-Gluten-Free-Cereal-17-oz-Box%2F10311277%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cheerios,Food > Breakfast & Cereal > Cold Cereal,2.98,3.68,4.854,366,t,t,1,38,61,https://i5.walmartimages.com/asr/2a619354-ad91-4e66-9460-2ff02d835d25_1.c473fa56827e5609fb0c90855cf65635.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
44,10315966,"Great Value Bite Size Frosted Shredded Wheat Cereal, 24 oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FGreat-Value-Bite-Size-Frosted-Shredded-Wheat-Cereal-24-oz%2F10315966%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Great Value,Food > Breakfast & Cereal > Cold Cereal,2.93,,4.235,81,t,t,1,41,81,https://i5.walmartimages.com/asr/aa6137b8-f430-4231-8f35-d70fcc097f0c_1.d4f24b3292f0c93f2856e892e6d02cb8.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
53,46772385,"Kellogg's Müeslix Raisins, Dates, Almonds Cereal, 15.3 oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-M-eslix-Raisins-Dates-Almonds-Cereal-15-3-oz%2F46772385%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,3.68,,5,11,t,t,1,53,22,https://i5.walmartimages.com/asr/dbe26fc9-35ed-4816-9878-f763c29bf75f_1.100dc63d986e9b29ccdb9a3b34eb55b6.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
51,24722541,"Kellogg's Special K Protein Cereal, 12.5 ounce box",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Special-K-Protein-Cereal-12-5-ounce-box%2F24722541%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,3.87,,4.732,122,t,t,1,50,36,https://i5.walmartimages.com/asr/a362ed2d-53bc-4ef5-94c9-91611563470a_1.924a8c16061f54fe66beccb870f4f7f0.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
54,19890855,"Kellogg's Frosted Flakes Cereal, 26.8 oz",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Frosted-Flakes-Cereal-26-8-oz%2F19890855%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,3.98,,4.767,361,t,t,1,52,98,https://i5.walmartimages.com/asr/959294a2-4e14-46f4-9907-f08356dddd11_1.f1d29e1d13787d704adb8964e4c59415.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
47,19794416,"Kellogg's Krave Chocolate Cereal, 11.4 OZ",http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Krave-Chocolate-Cereal-11-4-OZ%2F19794416%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kellogg's,Food > Breakfast & Cereal > Cold Cereal,8.2,,4.849,73,t,t,1,47,47,https://i5.walmartimages.com/asr/d3de11b4-0e0b-444c-aa2f-cd7236728f5b_1.45384ecf2aee9a17f4c44d0587a96b72.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
42,44002692,Post Honey Graham Oh's Cereal 10.5 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FPost-Honey-Graham-Oh-s-Cereal-10-5-oz-Box%2F44002692%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Post,Food > Breakfast & Cereal > Cold Cereal,3.67,,4.777,90,t,t,1,37,90,https://i5.walmartimages.com/asr/ac0571d1-3d86-4384-8038-1ad685785bc2_1.635c111bf3910cc629a579cf25d7ce19.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
43,10311405,Apple Cinnamon Cheerios Gluten Free Cereal 12.9 oz Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FApple-Cinnamon-Cheerios-Gluten-Free-Cereal-12-9-oz-Box%2F10311405%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Cheerios,Food > Breakfast & Cereal > Cold Cereal,9.33,,4.541,36,t,t,1,40,89,https://i5.walmartimages.com/asr/e9fd69a1-5df7-45be-b61a-9a9d1b236597_1.8f5776bb1e5b1c1855c6eb29ef7e3d10.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
40,26691076,Malt-O-Meal® Cinnamon Toasters® Cereal 24.3 oz. ZIP-PAK®,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FMalt-O-Meal-Cinnamon-Toasters-Cereal-24-3-oz-ZIP-PAK%2F26691076%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Malt-O-Meal,Food > Breakfast & Cereal > Cold Cereal,3.98,,4.875,8,t,t,1,32,40,https://i5.walmartimages.com/asr/69a63b17-27f0-4559-bfd1-329e40067bab_1.a98074afd1decf69c3e17be6db5f373d.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
50,28644588,Kashi® Simply Maize® Cereal 10.5 oz. Box,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKashi-Simply-Maize-Cereal-10-5-oz-Box%2F28644588%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,Kashi,Food > Breakfast & Cereal > Cold Cereal,4.99,133.93,5,2,t,t,1,49,41,https://i5.walmartimages.com/asr/b9e7fe83-ed2a-436a-a737-d67f0ac30e82_1.b0e5e1dbc6172c845be72e6b5c05aa52.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
1238,813963986,Greenmax - Black Sesame Cereal (Pack of 1),http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FGreenmax-Black-Sesame-Cereal-Pack-of-1%2F813963986%3Faffp1%3D3h-WuYh6u7ADvf8lNzyz114OKgQdQhBw_Za7hFF_Lss%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi,,Food > Breakfast & Cereal > Cold Cereal,13.45,,,,,t,1,,1014,https://i5.walmartimages.com/asr/878e78c4-2e2e-49a0-ade5-4469fbbfde10_1.597dc3a873b2c395e9505334939521c3.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF
